XCoord 3.535547, YCoord 3.754205, XVel 0.000035, YVel 0.000038, Mass 100000000.000000, AccelX -0.000000, AccelY 0.000000
XCoord -6684275.500000, YCoord -6664274.000000, XVel -66.838257, YVel -66.638260, Mass 11.000000, AccelX 0.000000, AccelY 0.000000
XCoord -1688569.625000, YCoord -1648567.000000, XVel -16.884495, YVel -16.484436, Mass 21.000000, AccelX 0.000000, AccelY 0.000000
XCoord -757630.062500, YCoord -711397.000000, XVel -7.576871, YVel -7.114627, Mass 31.000000, AccelX 0.000000, AccelY 0.000000
XCoord -459098.906250, YCoord -376831.718750, XVel -4.591487, YVel -3.768175, Mass 41.000000, AccelX 0.000000, AccelY 0.000000
XCoord -316676.031250, YCoord -215722.406250, XVel -3.167012, YVel -2.157137, Mass 51.000000, AccelX -0.000000, AccelY 0.000000
XCoord -244988.109375, YCoord -115438.515625, XVel -2.449855, YVel -1.154309, Mass 61.000000, AccelX 0.000000, AccelY 0.000000
XCoord -210250.203125, YCoord -149508.250000, XVel -2.102599, YVel -1.495209, Mass 71.000000, AccelX 0.000000, AccelY 0.000000
XCoord -183640.375000, YCoord -109761.156250, XVel -1.836559, YVel -1.097959, Mass 81.000000, AccelX 0.000000, AccelY 0.000000
XCoord -171814.265625, YCoord -35929.757812, XVel -1.718161, YVel -0.359859, Mass 91.000000, AccelX 0.000000, AccelY 0.000000
XCoord -167963.937500, YCoord 29867.441406, XVel -1.679680, YVel 0.298550, Mass 101.000000, AccelX 0.000000, AccelY -0.000000
XCoord -162903.000000, YCoord 53082.148438, XVel -1.628935, YVel 0.530746, Mass 111.000000, AccelX 0.000000, AccelY -0.000000
XCoord -164840.593750, YCoord 72495.570312, XVel -1.648443, YVel 0.724813, Mass 121.000000, AccelX 0.000000, AccelY -0.000000
XCoord -168914.562500, YCoord 89641.687500, XVel -1.689263, YVel 0.896470, Mass 131.000000, AccelX 0.000000, AccelY -0.000000
XCoord -173576.812500, YCoord 105291.976562, XVel -1.735615, YVel 1.052766, Mass 141.000000, AccelX 0.000000, AccelY -0.000000
