XCoord 35.338753, YCoord 37.538002, XVel 0.000035, YVel 0.000038, Mass 100000000.000000, AccelX -0.000000, AccelY 0.000000
XCoord -66805552.000000, YCoord -66704820.000000, XVel -66.838257, YVel -66.638260, Mass 11.000000, AccelX 0.000000, AccelY 0.000000
XCoord -16894462.000000, YCoord -16495044.000000, XVel -16.884495, YVel -16.484436, Mass 21.000000, AccelX 0.000000, AccelY 0.000000
XCoord -7586288.000000, YCoord -7111191.000000, XVel -7.576871, YVel -7.114627, Mass 31.000000, AccelX -0.000000, AccelY 0.000000
XCoord -4595395.000000, YCoord -3769734.000000, XVel -4.591487, YVel -3.768175, Mass 41.000000, AccelX 0.000000, AccelY 0.000000
XCoord -3168382.500000, YCoord -2159231.250000, XVel -3.167012, YVel -2.157137, Mass 51.000000, AccelX -0.000000, AccelY 0.000000
XCoord -2449988.000000, YCoord -1154578.500000, XVel -2.449855, YVel -1.154309, Mass 61.000000, AccelX 0.000000, AccelY 0.000000
XCoord -2100717.000000, YCoord -1495864.625000, XVel -2.102599, YVel -1.495209, Mass 71.000000, AccelX 0.000000, AccelY 0.000000
XCoord -1837323.500000, YCoord -1098782.375000, XVel -1.836559, YVel -1.097959, Mass 81.000000, AccelX 0.000000, AccelY 0.000000
XCoord -1716252.500000, YCoord -359541.562500, XVel -1.718161, YVel -0.359859, Mass 91.000000, AccelX 0.000000, AccelY 0.000000
XCoord -1678163.875000, YCoord 298653.250000, XVel -1.679680, YVel 0.298550, Mass 101.000000, AccelX 0.000000, AccelY -0.000000
XCoord -1628200.375000, YCoord 531101.437500, XVel -1.628935, YVel 0.530746, Mass 111.000000, AccelX 0.000000, AccelY -0.000000
XCoord -1649748.375000, YCoord 724995.562500, XVel -1.648443, YVel 0.724813, Mass 121.000000, AccelX 0.000000, AccelY -0.000000
XCoord -1688235.375000, YCoord 895495.125000, XVel -1.689263, YVel 0.896470, Mass 131.000000, AccelX 0.000000, AccelY -0.000000
XCoord -1736774.750000, YCoord 1051535.250000, XVel -1.735615, YVel 1.052766, Mass 141.000000, AccelX 0.000000, AccelY -0.000000
XCoord -1790466.375000, YCoord 1198908.500000, XVel -1.792135, YVel 1.197922, Mass 151.000000, AccelX 0.000000, AccelY -0.000000
XCoord -1858979.750000, YCoord 1336294.500000, XVel -1.856556, YVel 1.334748, Mass 161.000000, AccelX 0.000000, AccelY -0.000000
XCoord -1925677.875000, YCoord 1463568.375000, XVel -1.927137, YVel 1.465196, Mass 171.000000, AccelX 0.000000, AccelY -0.000000
XCoord -1997492.625000, YCoord 1590589.375000, XVel -1.996354, YVel 1.590670, Mass 181.000000, AccelX 0.000000, AccelY -0.000000
XCoord -2075187.750000, YCoord 1712488.875000, XVel -2.076191, YVel 1.712201, Mass 191.000000, AccelX 0.000000, AccelY -0.000000
XCoord -2163062.500000, YCoord 1828528.500000, XVel -2.163914, YVel 1.830568, Mass 201.000000, AccelX 0.000000, AccelY -0.000000
XCoord -2249823.500000, YCoord 1947433.500000, XVel -2.248633, YVel 1.946362, Mass 211.000000, AccelX 0.000000, AccelY -0.000000
XCoord -2335647.500000, YCoord 2061754.750000, XVel -2.335349, YVel 2.060047, Mass 221.000000, AccelX 0.000000, AccelY -0.000000
XCoord -2424859.750000, YCoord 2174250.750000, XVel -2.423862, YVel 2.171978, Mass 231.000000, AccelX 0.000000, AccelY -0.000000
XCoord -2514717.500000, YCoord 2283773.500000, XVel -2.513722, YVel 2.282445, Mass 241.000000, AccelX 0.000000, AccelY -0.000000
XCoord -2602356.750000, YCoord 2391226.000000, XVel -2.604790, YVel 2.391678, Mass 251.000000, AccelX 0.000000, AccelY -0.000000
XCoord -2698173.000000, YCoord 2500001.000000, XVel -2.696868, YVel 2.499864, Mass 261.000000, AccelX 0.000000, AccelY -0.000000
XCoord -2791071.750000, YCoord 2607654.500000, XVel -2.789809, YVel 2.607156, Mass 271.000000, AccelX 0.000000, AccelY -0.000000
XCoord -2882270.750000, YCoord 2715481.000000, XVel -2.883500, YVel 2.713679, Mass 281.000000, AccelX 0.000000, AccelY -0.000000
XCoord -2975539.000000, YCoord 2822787.500000, XVel -2.977831, YVel 2.819540, Mass 291.000000, AccelX 0.000000, AccelY -0.000000
XCoord -3074563.500000, YCoord 2925001.250000, XVel -3.072689, YVel 2.924822, Mass 301.000000, AccelX 0.000000, AccelY -0.000000
XCoord -3168753.000000, YCoord 3026760.250000, XVel -3.168097, YVel 3.029602, Mass 311.000000, AccelX 0.000000, AccelY -0.000000
XCoord -3267085.500000, YCoord 3131771.250000, XVel -3.263900, YVel 3.133939, Mass 321.000000, AccelX 0.000000, AccelY -0.000000
XCoord -3357336.500000, YCoord 3241914.500000, XVel -3.360080, YVel 3.237888, Mass 331.000000, AccelX 0.000000, AccelY -0.000000
XCoord -3455685.250000, YCoord 3343717.750000, XVel -3.456593, YVel 3.341493, Mass 341.000000, AccelX 0.000000, AccelY -0.000000
XCoord -3551384.750000, YCoord 3448196.000000, XVel -3.553400, YVel 3.444794, Mass 351.000000, AccelX 0.000000, AccelY -0.000000
